ProductID,ProductName,Category,SubCategory,Brand
P001,Zenith Tablets 001,Electronics,Tablets,Orion
P002,NovaTech Webcams 002,Accessories,Webcams,Zenith
P003,Prime Laptops 003,Electronics,Laptops,Maxwell
P004,Zenith Stationery 004,Office,Stationery,UrbanPro
P005,UrbanPro Chairs 005,Office,Chairs,Orion
P006,Vertex Desks 006,Office,Desks,Maxwell
P007,Orion Storage 007,Home,Storage,UrbanPro
P008,Orion Desks 008,Office,Desks,Vertex
P009,Maxwell Smartphones 009,Electronics,Smartphones,NovaTech
P010,Apex Appliances 010,Home,Appliances,Zenith
P011,Zenith Tablets 011,Electronics,Tablets,Apex
P012,Orion Tablets 012,Electronics,Tablets,Maxwell
P013,UrbanPro Stationery 013,Office,Stationery,Vertex
P014,Orion Mice 014,Accessories,Mice,NovaTech
P015,Zenith Chairs 015,Office,Chairs,Zenith
P016,Apex Storage 016,Home,Storage,Maxwell
P017,Maxwell Mice 017,Accessories,Mice,Apex
P018,UrbanPro Monitors 018,Electronics,Monitors,Vertex
P019,Zenith Keyboards 019,Accessories,Keyboards,Orion
P020,Prime Keyboards 020,Accessories,Keyboards,Zenith
P021, Vertex Cleaning 021 ,Home,Cleaning,UrbanPro
P022,NovaTech Printers 022,Office,Printers,Apex
P023,Orion Appliances 023,Home,Appliances,UrbanPro
P024,Maxwell Cleaning 024,Home,Cleaning,Apex
P025,Zenith Smartphones 025,Electronics,Smartphones,Vertex
P026,UrbanPro Kitchen 026,Home,Kitchen,NovaTech
P027,UrbanPro Appliances 027,Home,Appliances,Zenith
P028,Apex Headsets 028,Accessories,Headsets,UrbanPro
P029,Prime Desks 029,Office,Desks,Prime
P030,Vertex Laptops 030,Electronics,Laptops,NovaTech
P031,Zenith Headsets 031,Accessories,Headsets,Orion
P032,NovaTech Storage 032,Home,Storage,UrbanPro
P033,Prime Printers 033,Office,Printers,Prime
P034,UrbanPro Smartphones 034,Electronics,Smartphones,Apex
P035,Apex Chairs 035,Office,Chairs,Orion
P036,Apex Kitchen 036,Home,Kitchen,Orion
P037,NovaTech Appliances 037,Home,Appliances,Vertex
P038,UrbanPro Kitchen 038,Home,Kitchen,Apex
P039,Orion Cleaning 039,Home,Cleaning,Zenith
P040,Prime Smartphones 040,Electronics,Smartphones,UrbanPro
P041,Orion Storage 041,Home,Storage,Orion
P042,Apex Webcams 042,Accessories,Webcams,Vertex
P043,NovaTech Keyboards 043,Accessories,Keyboards,NovaTech
P044,Zenith Storage 044,Home,Storage,Orion
P045,Maxwell Chairs 045,Office,Chairs,Prime
P046,Orion Kitchen 046,Home,Kitchen,Zenith
P047,Vertex Mice 047,Accessories,Mice,Orion
P048,Zenith Monitors 048,Electronics,Monitors,Zenith
P049,Maxwell Desks 049,Office,Desks,NovaTech
P050,Apex Keyboards 050,Accessories,Keyboards,Maxwell
P051,Orion Webcams 051,Accessories,Webcams,Zenith
P052,UrbanPro Mice 052,Accessories,Mice,Maxwell
P053,Apex Webcams 053,Accessories,Webcams,Zenith
P054,Zenith Cleaning 054,Home,Cleaning,Apex
P055,Orion Laptops 055,Electronics,Laptops,Maxwell
P056,Zenith Monitors 056,Electronics,Monitors,Vertex
P057,UrbanPro Desks 057,Office,Desks,Prime
P058,Orion Chairs 058,Office,Chairs,UrbanPro
P059,Orion Tablets 059,Electronics,Tablets,Zenith
P060,Apex Desks 060,Office,Desks,Zenith
P061,NovaTech Smartphones 061,Electronics,Smartphones,Zenith
P062,UrbanPro Chairs 062,Office,Chairs,Orion
P063,Vertex Kitchen 063,Home,Kitchen,Orion
P064,Zenith Monitors 064,Electronics,Monitors,Vertex
P065,Vertex Chairs 065,Office,Chairs,Prime
P066,Apex Kitchen 066,Home,Kitchen,Maxwell
P067,Orion Storage 067,Home,Storage,Apex
P068,Apex Printers 068,Office,Printers,NovaTech
P069,Orion Tablets 069,Electronics,Tablets,Orion
P070,NovaTech Webcams 070,Accessories,Webcams,NovaTech
P071,Zenith Mice 071,Accessories,Mice,Orion
P072,Vertex Webcams 072,Accessories,Webcams,Prime
P073,UrbanPro Desks 073,Office,Desks,Apex
P074,Prime Cleaning 074,Home,Cleaning,Prime
P075,Apex Cleaning 075,Home,Cleaning,NovaTech
P076,NovaTech Webcams 076,Accessories,Webcams,Maxwell
P077,Apex Chairs 077,Office,Chairs,Prime
P078,Zenith Keyboards 078,Accessories,Keyboards,Zenith
P079,Vertex Monitors 079,Electronics,Monitors,Zenith
P080,Maxwell Printers 080,Office,Printers,UrbanPro
P081,Prime Keyboards 081,Accessories,Keyboards,Maxwell
P082,Vertex Kitchen 082,Home,Kitchen,NovaTech
P083,Prime Smartphones 083,Electronics,Smartphones,Apex
P084,Orion Webcams 084,Accessories,Webcams,UrbanPro
P085,Vertex Cleaning 085,Home,Cleaning,Maxwell
P086,Prime Desks 086,Office,Desks,Prime
P087,Maxwell Cleaning 087,Home,Cleaning,Maxwell
P088,Prime Laptops 088,Electronics,Laptops,NovaTech
P089,Maxwell Mice 089,Accessories,Mice,Maxwell
P090,NovaTech Tablets 090,Electronics,Tablets,Zenith
P091,Vertex Appliances 091,Home,Appliances,Maxwell
P092,Orion Smartphones 092,Electronics,Smartphones,Apex
P093,Apex Tablets 093,Electronics,Tablets,Zenith
P094,Maxwell Mice 094,Accessories,Mice,NovaTech
P095,Orion Printers 095,Office,Printers,Apex
P096,Maxwell Tablets 096,Electronics,Tablets,Vertex
P097,NovaTech Laptops 097,Electronics,Laptops,UrbanPro
P098,Zenith Kitchen 098,Home,Kitchen,Vertex
P099,Zenith Headsets 099,Accessories,Headsets,UrbanPro
P100,Apex Laptops 100,Electronics,Laptops,Apex
