SalesID,OrderDate,CustomerID,ProductID,RegionID,Quantity,UnitPrice,Discount,Sales,Cost,Profit
S000001,2025-11-22,C00794,P007,R18,5,1153.99,0.15,4904.46,4063.27,841.19
S000002,2024-10-08,C02188,P054,R08,3,2729.9,0.0,8189.7,7124.56,1065.14
S000003,2025-02-18,C03893,P047,R05,2,1881.09,0.05,3574.07,2388.18,1185.89
S000004,2025-01-02,C02877,P072,R08,1,6286.49,0.2,5029.19,2709.72,2319.47
S000005,2025-09-19,C00728,P025,R10,5,1877.51,0.15,7979.42,5629.92,2349.5
S000006,2024-03-10,C03529,P070,R13,4,1418.26,0.0,5673.04,3060.72,2612.32
S000007,2025-03-21,C00865,P045,R08,3,5774.15,0.1,15590.2,8530.65,7059.55
S000008,2025-08-18,C01611,P068,R10,2,2850.65,0.1,5131.17,3057.44,2073.73
S000009,2025-03-20,C04874,P042,R08,4,349.29,0.2,1117.73,949.86,167.87
S000010,2024-05-15,C04889,P039,R15,5,11633.03,0.1,52348.64,33100.48,19248.16
S000011,2025-07-15,C00115,P022,R02,5,2914.96,0.1,13117.32,10386.61,2730.71
S000012,2025-04-22,C01894,P083,R13,1,2946.0,0.0,2946.0,2036.1,909.9
S000013,2024-10-22,C01589,P007,R11,2,9805.03,0.15,16668.55,9783.61,6884.94
S000014,2024-07-19,C02686,P024,R09,5,6214.01,0.2,24856.04,15807.51,9048.53
S000015,2024-06-03,C04156,P043,R07,1,35501.34,0.0,35501.34,28144.73,7356.61
S000016,2024-05-08,C04134,P016,R05,1,1743.34,0.15,1481.84,905.09,576.75
S000017,2026-04-17,C00681,P092,R05,2,8021.81,0.15,13637.08,9583.23,4053.85
S000018,2026-08-20,C03736,P035,R12,3,1762.85,0.25,3966.41,3412.25,554.16
S000019,2024-02-27,C00155,P025,R03,2,5330.77,0.05,10128.46,6357.91,3770.55
S000020,2024-04-07,C02508,P026,R05,4,10922.9,0.25,32768.7,24003.87,8764.83
S000021,2025-12-29,C02838,P020,R08,2,2074.89,0.0,4149.78,2503.36,1646.42
S000022,2025-11-30,C02042,P067,R12,3,44878.4,0.15,114439.92,62975.52,51464.4
S000023,2024-04-17,C04395,P049,R08,5,6631.95,0.1,29843.78,19163.37,10680.41
S000024,2026-05-16,C03186,P024,R03,2,2460.14,0.05,4674.27,2894.4,1779.87
S000025,2024-07-12,C04878,P088,R15,3,183.44,0.1,495.29,307.14,188.15
S000026,2026-08-24,C02179,P066,R04,2,3772.5,0.0,7545.0,6377.58,1167.42
S000027,2025-05-13,C02027,P041,R17,2,16987.96,0.1,30578.33,24233.85,6344.48
S000028,2024-09-30,C02961,P052,R08,5,5194.93,0.0,25974.65,15020.05,10954.6
