Date,RegionID,Target
2024-01-01,R01,1198184
2024-01-01,R02,962580
2024-01-01,R03,1357573
2024-01-01,R04,1207783
2024-01-01,R05,1191129
2024-01-01,R06,836055
2024-01-01,R07,843560
2024-01-01,R08,1094993
2024-01-01,R09,1352820
2024-01-01,R10,884353
2024-01-01,R11,1364599
2024-01-01,R12,1210508
2024-01-01,R13,1114172
2024-01-01,R14,1254522
2024-01-01,R15,842671
2024-01-01,R16,947030
2024-01-01,R17,1270471
2024-01-01,R18,906007
2024-02-01,R01,1106341
2024-02-01,R02,1405922
2024-02-01,R03,887462
2024-02-01,R04,849178
2024-02-01,R05,1198676
2024-02-01,R06,1137820
2024-02-01,R07,1229787
2024-02-01,R08,1508147
2024-02-01,R09,975690
2024-02-01,R10,1245602
2024-02-01,R11,1081927
2024-02-01,R12,1280597
2024-02-01,R13,942788
2024-02-01,R14,1010108
2024-02-01,R15,951467
2024-02-01,R16,1157886
2024-02-01,R17,937469
2024-02-01,R18,829878
2024-03-01,R01,1365504
2024-03-01,R02,1217404
2024-03-01,R03,1382144
2024-03-01,R04,977917
2024-03-01,R05,1565873
2024-03-01,R06,1095789
2024-03-01,R07,1096528
2024-03-01,R08,1291234
2024-03-01,R09,877272
2024-03-01,R10,1442127
2024-03-01,R11,912503
2024-03-01,R12,1546491
2024-03-01,R13,1211066
2024-03-01,R14,1039780
2024-03-01,R15,1541227
2024-03-01,R16,967777
2024-03-01,R17,1209744
2024-03-01,R18,1450541
2024-04-01,R01,879562
2024-04-01,R02,1017723
2024-04-01,R03,1398187
2024-04-01,R04,1122147
2024-04-01,R05,1576744
2024-04-01,R06,1358316
2024-04-01,R07,1187681
2024-04-01,R08,1458053
2024-04-01,R09,1500626
2024-04-01,R10,1315361
2024-04-01,R11,1180541
2024-04-01,R12,966022
2024-04-01,R13,1164557
2024-04-01,R14,922140
2024-04-01,R15,1070496
2024-04-01,R16,1368292
2024-04-01,R17,1175099
2024-04-01,R18,1236433
2024-05-01,R01,1310580
2024-05-01,R02,1518777
2024-05-01,R03,1191360
2024-05-01,R04,1232392
2024-05-01,R05,939103
2024-05-01,R06,886117
2024-05-01,R07,1424396
2024-05-01,R08,1410817
2024-05-01,R09,1473192
2024-05-01,R10,1160482
2024-05-01,R11,1253877
2024-05-01,R12,1567875
2024-05-01,R13,907025
2024-05-01,R14,1085771
2024-05-01,R15,1058882
2024-05-01,R16,1491645
2024-05-01,R17,1209839
2024-05-01,R18,928241
2024-06-01,R01,934484
2024-06-01,R02,860233
2024-06-01,R03,1546791
2024-06-01,R04,1339880
2024-06-01,R05,1052130
2024-06-01,R06,1064088
2024-06-01,R07,1327155
2024-06-01,R08,914289
2024-06-01,R09,866916
2024-06-01,R10,1196391
2024-06-01,R11,1328800
2024-06-01,R12,986011
2024-06-01,R13,1487582
2024-06-01,R14,1159627
2024-06-01,R15,862724
2024-06-01,R16,1202959
2024-06-01,R17,1515004
2024-06-01,R18,1571542
2024-07-01,R01,1383787
2024-07-01,R02,1211651
2024-07-01,R03,975452
2024-07-01,R04,1379550
2024-07-01,R05,1104066
2024-07-01,R06,1159832
2024-07-01,R07,951768
2024-07-01,R08,871022
2024-07-01,R09,1220823
2024-07-01,R10,1016624
2024-07-01,R11,1067099
2024-07-01,R12,1085797
2024-07-01,R13,1595063
2024-07-01,R14,1281746
2024-07-01,R15,1130883
2024-07-01,R16,1569262
2024-07-01,R17,1362636
2024-07-01,R18,983810
2024-08-01,R01,915290
2024-08-01,R02,1143426
2024-08-01,R03,1535933
2024-08-01,R04,1071036
2024-08-01,R05,1290216
2024-08-01,R06,1290874
2024-08-01,R07,1103305
2024-08-01,R08,1308025
2024-08-01,R09,1387337
2024-08-01,R10,1099397
2024-08-01,R11,1472756
2024-08-01,R12,1564708
2024-08-01,R13,1168820
2024-08-01,R14,1176710
2024-08-01,R15,1090696
2024-08-01,R16,1023629
2024-08-01,R17,1523978
2024-08-01,R18,904683
2024-09-01,R01,1281241
2024-09-01,R02,1027629
2024-09-01,R03,951726
2024-09-01,R04,1406710
2024-09-01,R05,904565
2024-09-01,R06,1500483
2024-09-01,R07,1504580
2024-09-01,R08,1109922
2024-09-01,R09,1517168
2024-09-01,R10,1198074
2024-09-01,R11,1353473
2024-09-01,R12,1105886
2024-09-01,R13,1406850
2024-09-01,R14,1515801
2024-09-01,R15,1261337
2024-09-01,R16,948671
2024-09-01,R17,1218316
2024-09-01,R18,1311338
2024-10-01,R01,1321043
2024-10-01,R02,1049504
2024-10-01,R03,1566854
2024-10-01,R04,1047005
2024-10-01,R05,1132164
2024-10-01,R06,1049921
2024-10-01,R07,1557871
2024-10-01,R08,1187213
2024-10-01,R09,1461155
2024-10-01,R10,1495047
2024-10-01,R11,1731980
2024-10-01,R12,1349617
2024-10-01,R13,1193171
2024-10-01,R14,1387500
2024-10-01,R15,961924
2024-10-01,R16,1563674
2024-10-01,R17,1016428
2024-10-01,R18,1704647
2024-11-01,R01,1366480
2024-11-01,R02,1048173
2024-11-01,R03,1583386
2024-11-01,R04,1507181
2024-11-01,R05,1556714
2024-11-01,R06,1405853
2024-11-01,R07,1652980
2024-11-01,R08,1112380
2024-11-01,R09,1121681
2024-11-01,R10,1557046
2024-11-01,R11,1631278
2024-11-01,R12,1478368
2024-11-01,R13,1402111
2024-11-01,R14,1709471
2024-11-01,R15,1502716
2024-11-01,R16,1627703
2024-11-01,R17,1373279
2024-11-01,R18,1719263
2024-12-01,R01,974274
2024-12-01,R02,1422144
2024-12-01,R03,1627364
2024-12-01,R04,1326653
2024-12-01,R05,1130252
2024-12-01,R06,1319529
2024-12-01,R07,1103859
2024-12-01,R08,1638226
2024-12-01,R09,1277045
2024-12-01,R10,1032839
2024-12-01,R11,1538355
2024-12-01,R12,1772794
2024-12-01,R13,1230312
2024-12-01,R14,1517862
2024-12-01,R15,1358146
2024-12-01,R16,1280838
2024-12-01,R17,1267926
2024-12-01,R18,957578
2025-01-01,R01,1036705
2025-01-01,R02,1019502
2025-01-01,R03,1444031
2025-01-01,R04,1510322
2025-01-01,R05,896209
2025-01-01,R06,830274
2025-01-01,R07,891192
2025-01-01,R08,1379481
2025-01-01,R09,1285655
2025-01-01,R10,1150084
2025-01-01,R11,1024456
2025-01-01,R12,996930
2025-01-01,R13,931347
2025-01-01,R14,1448567
2025-01-01,R15,1215282
2025-01-01,R16,930831
2025-01-01,R17,1403270
2025-01-01,R18,1276824
2025-02-01,R01,1114087
2025-02-01,R02,1314507
2025-02-01,R03,1195379
2025-02-01,R04,1495781
2025-02-01,R05,995283
2025-02-01,R06,1414712
2025-02-01,R07,1201451
2025-02-01,R08,1124062
2025-02-01,R09,880257
2025-02-01,R10,880725
2025-02-01,R11,921175
2025-02-01,R12,1491346
2025-02-01,R13,1191344
2025-02-01,R14,1307073
2025-02-01,R15,1285033
2025-02-01,R16,1477036
2025-02-01,R17,1465156
2025-02-01,R18,1453762
2025-03-01,R01,1007357
2025-03-01,R02,1493973
2025-03-01,R03,1579561
2025-03-01,R04,980515
2025-03-01,R05,1424724
2025-03-01,R06,1197028
